name,company_name,m2,gross_max_power,lon,lat,Punktgeometrie (als WKT)
Maxeville,Arcan Networks,,,6.1688264,48.7085582,POINT (6.1688264 48.7085582)
Marseille,IELO / Lost Oasis,,,5.3673186,43.4953094,POINT (5.3673186 43.4953094)
La Ciotat,BICS SA/NV,,,5.5981873,43.2015836,POINT (5.5981873 43.2015836)
La Ciotat,ASPSERVEUR,,,5.6057794,43.207502,POINT (5.6057794 43.207502)
Mareuil sur Ay,Interoute,,,4.0231365,49.0479423,POINT (4.0231365 49.0479423)
ArteOne,Artefact,,,1.5091939,45.1580558,POINT (1.5091939 45.1580558)
Le Mans,BPL Global,,,0.2190669,47.9636615,POINT (0.2190669 47.9636615)
Pascal de Rienzo,Datagrex,,,0.1804679,48.0498575,POINT (0.1804679 48.0498575)
Meylan,Xsalto,500,300,5.7869704,45.2114025,POINT (5.7869704 45.2114025)
THDGlobal2,Regie Gaz Electricite,,,6.409053,46.0780249,POINT (6.409053 46.0780249)
THDGlobal1,Regie Gaz Electricite,,,6.6400758,45.9323666,POINT (6.6400758 45.9323666)
Saint Genis Pouilly,Maxnod,,,6.0194766,46.23866,POINT (6.0194766 46.23866)
Douai,SQL Technologies,,,3.0942747,50.3754192,POINT (3.0942747 50.3754192)
Carcassonne,Ataraxie,,,2.3453455,43.2175164,POINT (2.3453455 43.2175164)
Calais,Interoute,,,1.799951,50.936417,POINT (1.799951 50.936417)
Le Bouscat,Alienor.net,,,-0.600108,44.8736854,POINT (-0.600108 44.8736854)
Bordeaux,Interoute,,,-0.534538,44.7801649,POINT (-0.534538 44.7801649)
NeoCenter Besançon,Neoclyde,,,5.9740488,47.2259956,POINT (5.9740488 47.2259956)
Archamps,Via-numerica,,,6.130956,46.135197,POINT (6.130956 46.135197)
Alencon,AZNetwork,,,0.0918412,48.4420009,POINT (0.0918412 48.4420009)
Sophia Antipolis,TAS France,500,1500,7.0374252,43.6283225,POINT (7.0374252 43.6283225)
Nancy SJ2,Adista,200,320,6.165043,48.711211,POINT (6.165043 48.711211)
Nancy SJ1,Adista,300,300,6.165043,48.711211,POINT (6.165043 48.711211)
Reliance St. Denis,Reliance Communications Ltd.,,,2.35189,48.928051,POINT (2.35189 48.928051)
Reliance Plerin,Reliance Communications Ltd.,,,-2.7942981,48.5478229,POINT (-2.7942981 48.5478229)
Covage Labège,COVAGE,,,1.5096531,43.5426189,POINT (1.5096531 43.5426189)
Sicoval Labège,SICOVAL,,,1.5220995,43.53993089999999,POINT (1.5220995 43.53993089999999)
IMS Network,IMS NETWORK,,,1.5096009,43.5414394,POINT (1.5096009 43.5414394)
Hotel des Telecoms,FullSave,,,1.529754,43.530582,POINT (1.529754 43.530582)
Alionis VBO,Alionis,,,2.2127813,48.6886854,POINT (2.2127813 48.6886854)
Limonest,DCforData,,,4.7714837,45.8061337,POINT (4.7714837 45.8061337)
Gravelines 1,OVH,,,2.155723572,51.01191866,POINT (2.155723572 51.01191866)
Parc des Damiers,SEGRO (Slough Trading Estate),,,2.4078105,48.9251973,POINT (2.4078105 48.9251973)
Besancon,Euclyde Data Centers,300,0,5.9740488,47.2259956,POINT (5.9740488 47.2259956)
Netissime,Groupe elb Multimedia,,,4.8804838,45.7704769,POINT (4.8804838 45.7704769)
Villeurbanne,Groupe elb Multimedia,,,4.8717445,45.7718875,POINT (4.8717445 45.7718875)
Villeurbanne,LaSoTel,,,4.8998106,45.758014,POINT (4.8998106 45.758014)
Kheops Site du Plessis Robinson,Kheops Organisation,,,2.2393221,48.7747563,POINT (2.2393221 48.7747563)
Le Plessis Robinson,Cloudata,,,2.2393221,48.7747563,POINT (2.2393221 48.7747563)
ATE01,ATE,,,3.146128,50.6400737,POINT (3.146128 50.6400737)
Suresnes,Green Data Center,,,2.2246339,48.8704095,POINT (2.2246339 48.8704095)
Sophia Antipolis - Valbonne,Euclyde Data Centers,1000,0,7.0316606,43.6243482,POINT (7.0316606 43.6243482)
Aubervilliers,LDCOM,,,2.3967285,48.9089614,POINT (2.3967285 48.9089614)
Aubervilliers,Completel,,,2.3961009,48.9096032,POINT (2.3961009 48.9096032)
Aubervilliers,Interoute,,,2.3680883,48.9068351,POINT (2.3680883 48.9068351)
Paris 3,Equinix,6692,12000,2.35078454,48.92715185,POINT (2.35078454 48.92715185)
Nanterre,Defense Datacenter,,,2.2212427,48.8978688,POINT (2.2212427 48.8978688)
Paris (rue du Faubourg Saint Honoré),Claranet,,,2.3182735,48.8700031,POINT (2.3182735 48.8700031)
Paris,IELO / Lost Oasis,,,2.369002,48.853082,POINT (2.369002 48.853082)
Paris Jeûneurs,Telehouse,,,2.3440659,48.869673,POINT (2.3440659 48.869673)
Paris Voltaire,Telehouse,7000,10000,2.3832599,48.8560006,POINT (2.3832599 48.8560006)
Paris North,Colt,954,3300,2.3994843,48.8350078,POINT (2.3994843 48.8350078)
19/21 Rue Poissonnière,Zayo Group LLC,1250,600,2.3473431,48.8695696,POINT (2.3473431 48.8695696)
Paris 3,Interxion,1900,,2.3623663187026978,48.914719318465245,POINT (2.3623663187026978 48.914719318465245)
Faubourg Elysées,Claranet,,,2.3184147,48.8701048,POINT (2.3184147 48.8701048)
LDCOM Paris (Velizy),LDCOM,,,2.4365543,48.9167816,POINT (2.4365543 48.9167816)
LDCOM Netcenter Paris (Courbevoie),LDCOM,,,2.2577195,48.9035498,POINT (2.2577195 48.9035498)
Paris,SoftLayer Technologies (IBM Cloud),,,2.3522219,48.856614,POINT (2.3522219 48.856614)
Paris,Mediactive Network,,,2.3502982,48.8749126,POINT (2.3502982 48.8749126)
Paris,Choreus Group,,,2.3870342,48.842494,POINT (2.3870342 48.842494)
Paris,Criteo,,,2.3522219,48.856614,POINT (2.3522219 48.856614)
Paris 2,OVH,,,2.3757114,48.888415,POINT (2.3757114 48.888415)
Paris,BT Global Services,,,2.3703657,48.8243803,POINT (2.3703657 48.8243803)
Netcenter Paris (Courbevoie),LDCOM,,,2.2577195,48.9035498,POINT (2.2577195 48.9035498)
Paris,Kroll Ontrack,,,2.3522219,48.856614,POINT (2.3522219 48.856614)
Paris,VeePee,,,2.3135864,48.8861724,POINT (2.3135864 48.8861724)
Paris,Continent 8 Technologies,,,2.0883107,48.7061698,POINT (2.0883107 48.7061698)
Paris 1,Equinix,2600,0,2.5069689,48.9827628,POINT (2.5069689 48.9827628)
Dusseldorf 1,Interxion,3300,,6.8698954,51.18610700000001,POINT (6.8698954 51.18610700000001)
Antibes,NavLink,,,7.0770669,43.6039247,POINT (7.0770669 43.6039247)
Sophia Antipolis - Antibes,Euclyde Data Centers,1500,0,7.0756844,43.6050503,POINT (7.0756844 43.6050503)
Antibes,Cogent Communications Inc.,,,7.1208723,43.5807219,POINT (7.1208723 43.5807219)
AGIRC ARRCO,AGIRC ARRCO,800,400,-0.5750682,44.8654058,POINT (-0.5750682 44.8654058)
Crédit Agricole Bordeaux,CREDIT AGRICOLE,,,-0.5792689999999999,44.8421849,POINT (-0.5792689999999999 44.8421849)
AHI33,AHI33,,,-0.5691838,44.8562134,POINT (-0.5691838 44.8562134)
CERTIA,CERTIA,,,-0.552947,44.8946248,POINT (-0.552947 44.8946248)
ESID Bordeaux Xaintrailles,ESID DE BORDEAUX,,,-0.5766273,44.8349214,POINT (-0.5766273 44.8349214)
LDCOM Bordeaux,LDCOM,,,-0.556890965,44.88882918,POINT (-0.556890965 44.88882918)
Netcenter Bordeaux,SFR,,,-0.57918,44.837789,POINT (-0.57918 44.837789)
Bordeaux,Cogent Communications Inc.,,,-0.576144,44.8373682,POINT (-0.576144 44.8373682)
Paris West,Global Switch,4206,21250,2.293975353,48.90037242,POINT (2.293975353 48.90037242)
Bordeaux Lac,Neuf Cegetel,,,-0.5574969,44.8897554,POINT (-0.5574969 44.8897554)
LDCOM Caen,LDCOM,,,-0.3602696,49.1846666,POINT (-0.3602696 49.1846666)
Caen,Neuf Cegetel,,,-0.4022599,49.1973231,POINT (-0.4022599 49.1973231)
Cesson Sevigné,SFR,,,-1.6175124,48.1075971,POINT (-1.6175124 48.1075971)
Cesson Sevigné,Neuf Cegetel,,,-1.6166334,48.1073398,POINT (-1.6166334 48.1073398)
LDCOM Cesson,LDCOM,,,-1.606063843,48.12255939,POINT (-1.606063843 48.12255939)
Marseille 2,Interxion,4300,,5.3465867042541495,43.33951362691784,POINT (5.3465867042541495 43.33951362691784)
Marseille 1,Interxion,2500,,5.373955965042114,43.31093203016293,POINT (5.373955965042114 43.31093203016293)
93 rue Felix Pyat,Orange,,,5.3741308,43.3165901,POINT (5.3741308 43.3165901)
Marseille,Neuf Cegetel,,,5.3732747,43.3103856,POINT (5.3732747 43.3103856)
71 Av André Roussin,Jaguar Network SAS,,,5.337978188,43.36120867,POINT (5.337978188 43.36120867)
Marseille,Choreus Group,,,5.669918568,43.40844062,POINT (5.669918568 43.40844062)
78 Blvd du Sablier,Orange,,,5.3820135,43.2503616,POINT (5.3820135 43.2503616)
Marseille,Interoute,,,5.750911402,43.43175024,POINT (5.750911402 43.43175024)
LDCOM Rouen,LDCOM,,,1.1073475,49.3826414,POINT (1.1073475 49.3826414)
Saint Etienne du Rouvray,Neuf Cegetel,,,1.1064051,49.3674757,POINT (1.1064051 49.3674757)
Strasbourg,OVH,,,7.747882,48.583148,POINT (7.747882 48.583148)
Strasbourg,Interoute,,,7.7946142,48.5933303,POINT (7.7946142 48.5933303)
Strasbourg,SFR,,,7.7889483,48.5609265,POINT (7.7889483 48.5609265)
LDCOM Strasbourg,LDCOM,,,7.7820652,48.5673107,POINT (7.7820652 48.5673107)
Strasbourg,Datadock,,,7.794585228,48.58475543,POINT (7.794585228 48.58475543)
Strasbourg,Neuf Cegetel,,,7.7926081,48.5580147,POINT (7.7926081 48.5580147)
Strasbourg,Orange Business Services,,,7.7356498,48.5900327,POINT (7.7356498 48.5900327)
Vénissieux,SFR,,,4.8844649,45.699594,POINT (4.8844649 45.699594)
Vennissieux,Neuf Cegetel,,,4.862854,45.723204,POINT (4.862854 45.723204)
Courbevoie,SFR,,,2.2577121,48.9037312,POINT (2.2577121 48.9037312)
Boulevard de Verdun Courbevoie,Telia Carrier,,,2.2577195,48.9035498,POINT (2.2577195 48.9035498)
TelCo Center,Alphalink,,,2.2596315,48.9057515,POINT (2.2596315 48.9057515)
Quai Gauthey Dijon,Cogent Communications Inc.,,,5.0296464,47.3086799,POINT (5.0296464 47.3086799)
Grenoble,Cogent Communications Inc.,,,5.736495,45.1899361,POINT (5.736495 45.1899361)
La Garenne Colombes,Cogent Communications Inc.,,,2.2537465,48.9056895,POINT (2.2537465 48.9056895)
Lille,Cogent Communications Inc.,,,3.0905823,50.637239,POINT (3.0905823 50.637239)
Lille,Interoute,,,3.0670918,50.6031494,POINT (3.0670918 50.6031494)
SFR Netcenter Lille,SFR,,,3.057256,50.62925,POINT (3.057256 50.62925)
143 Rue Emile Julien,Zayo Group LLC,186,320,3.8717675,43.5846139,POINT (3.8717675 43.5846139)
LDCOM Netcenter Montpellier,LDCOM,,,3.8689679,43.59696,POINT (3.8689679 43.59696)
Montpellier,Cogent Communications Inc.,,,3.8627033,43.6014087,POINT (3.8627033 43.6014087)
Montpellier Internet Telecom Datacenter,"GROUPE MIT, s.a.r.l.",,,3.876716,43.610769,POINT (3.876716 43.610769)
Lyon,CFI,,,4.835659,45.764043,POINT (4.835659 45.764043)
Lyon,Prosodie,,,4.8437297,45.7286722,POINT (4.8437297 45.7286722)
Nantes,Cogent Communications Inc.,,,-1.5501172,47.2030574,POINT (-1.5501172 47.2030574)
Nice,Interoute,,,7.1932649,43.7106307,POINT (7.1932649 43.7106307)
Nice,Cogent Communications Inc.,,,7.2597219,43.7033801,POINT (7.2597219 43.7033801)
Poitiers,Interoute,,,0.340375,46.580224,POINT (0.340375 46.580224)
Poitiers,Cogent Communications Inc.,,,0.3400766,46.5881703,POINT (0.3400766 46.5881703)
Reims,Cogent Communications Inc.,,,4.0330909,49.2566023,POINT (4.0330909 49.2566023)
Neuf Reims,Neuf Cegetel,,,4.0159957,49.2577794,POINT (4.0159957 49.2577794)
Ikoula IKDC1,Ikoula,,,4.0342489,49.233263,POINT (4.0342489 49.233263)
Rennes,Cogent Communications Inc.,,,-1.6434892,48.1075217,POINT (-1.6434892 48.1075217)
Rouen,Cogent Communications Inc.,,,1.0760543,49.4288785,POINT (1.0760543 49.4288785)
Strasbourg,Cogent Communications Inc.,,,7.7439299,48.6005824,POINT (7.7439299 48.6005824)
Airbus Toulouse,Airbus,,,1.3726646,43.6119056,POINT (1.3726646 43.6119056)
AirFrance Toulouse,AIR FRANCE,0,0,1.3675934,43.593199,POINT (1.3675934 43.593199)
TISSEO Toulouse,TISSEO,,,1.3892689,43.5719602,POINT (1.3892689 43.5719602)
Thalès Toulouse,THALES,,,1.408144,43.564025,POINT (1.408144 43.564025)
Météo France Toulouse,METEO FRANCE,,,1.3748431,43.5759045,POINT (1.3748431 43.5759045)
GLS  Toulouse,GLS,,,1.3870598,43.5684781,POINT (1.3870598 43.5684781)
Direction Régionale des Douanes et Droits Indirects,Direction Régionale des Douanes et Droits Indirects,,,1.430577,43.611526,POINT (1.430577 43.611526)
COMUE Toulouse,COMUE,,,1.4513205,43.5948698,POINT (1.4513205 43.5948698)
CERFACS Toulouse,CERFACS,,,1.3748431,43.5759045,POINT (1.3748431 43.5759045)
Bouygues Telecom Toulouse,Bouygues Telecom,,,1.4847312,43.6318203,POINT (1.4847312 43.6318203)
Spot images,SPOT IMAGES,,,1.4872123,43.5542839,POINT (1.4872123 43.5542839)
Astrium,ASTRIUM,,,1.4998248,43.5621359,POINT (1.4998248 43.5621359)
